Row Labels,Count of replayFrom,Sum of count,Sum of TotalDelivered,Sum of TotalEvents
518414,1,2,2,2
518415,1,2,2,2
518416,1,2,2,2
518417,1,2,3,3
518419,1,2,4,4
518422,1,2,2,2
518423,1,2,2,2
518424,1,2,2,2
518425,1,2,2,2
518428,1,2,2,2
518429,1,2,2,2
518430,1,2,2,2
518431,1,2,2,2
518432,1,2,2,2
518433,1,2,2,2
518434,1,2,2,2
518435,1,2,2,2
518436,1,2,2,2
518437,1,2,2,2
518438,1,2,2,2
518439,1,2,2,2
518440,1,2,4,4
/s/chatter/feeds/feedelement/0D50H000080RvLhSAK,1,2,2,2
518502,1,2,2,2
/s/chatter/feeds/feedelement/0D50H000080S0pPSAS,8,16,17,17
519687,1,2,2,2
519691,1,2,2,2
519695,1,2,2,2
519698,1,2,2,2
519701,1,2,2,2
519704,1,2,2,2
519707,1,2,2,2
519710,1,2,3,3
/s/chatter/feeds/feedelement/0D50H000080SBCQSA4,2,4,4,4
519244,1,2,2,2
519245,1,2,2,2
/s/chatter/feeds/feedelement/0D50H000080SCEnSAO,5,10,10,10
519303,1,2,2,2
519304,1,2,2,2
519305,1,2,2,2
519306,1,2,2,2
519307,1,2,2,2
/s/chatter/feeds/feedelement/0D50H000080SDx0SAG,3,6,6,6
519335,1,2,2,2
519336,1,2,2,2
519337,1,2,2,2
/s/chatter/feeds/feedelement/0D50H000080SM6BSAW,7,14,16,16
519430,1,2,3,3
519432,1,2,2,2
519585,1,2,2,2
519586,1,2,2,2
519589,1,2,2,2
519591,1,2,2,2
519593,1,2,3,3
/s/chatter/feeds/feedelement/0D50H000080SNtUSAW,13,26,28,28
519687,1,2,2,2
519690,1,2,2,2
519692,1,2,2,2
519696,1,2,2,2
519699,1,2,2,2
519702,1,2,2,2
519706,1,2,2,2
519709,1,2,2,2
519712,1,2,2,2
519715,1,2,2,2
519718,1,2,2,2
519720,1,2,2,2
519723,1,2,4,4
/s/chatter/feeds/feedelement/0D50H000080SO0nSAG,24,55,57,57
519471,1,2,2,2
519472,1,2,2,2
519473,1,2,2,2
519834,1,2,2,2
519835,1,2,2,2
519836,1,2,2,2
519837,1,2,2,2
519838,1,2,2,2
519839,1,2,2,2
519840,1,2,2,2
519841,1,2,2,2
519842,1,3,3,3
519843,1,3,3,3
519844,1,2,2,2
519845,1,3,3,3
519846,1,2,2,2
519847,1,3,3,3
519848,1,3,3,3
519849,1,3,3,3
519850,1,3,4,4
519851,1,2,2,2
519852,1,2,2,2
519853,1,2,2,2
519854,1,2,3,3
/s/chatter/feeds/feedelement/0D50H000080SPxuSAG,5,10,10,10
519620,1,2,2,2
519621,1,2,2,2
519622,1,2,2,2
519623,1,2,2,2
519629,1,2,2,2
/s/chatter/feeds/feedelement/0D50H000080SQpiSAG,8,16,17,17
519734,1,2,2,2
519735,1,2,2,2
519736,1,2,2,2
519737,1,2,2,2
519738,1,2,2,2
519739,1,2,2,2
519743,1,2,2,2
519745,1,2,3,3
/s/chatter/feeds/feedelement/0D50H000080SVZoSAO,7,14,14,14
519942,1,2,2,2
519943,1,2,2,2
519944,1,2,2,2
519945,1,2,2,2
519946,1,2,2,2
519947,1,2,2,2
519948,1,2,2,2
/s/chatter/feeds/feedelement/0D50H000080SWG7SAO,8,16,16,16
519979,1,2,2,2
519980,1,2,2,2
519981,1,2,2,2
519982,1,2,2,2
519983,1,2,2,2
519984,1,2,2,2
519985,1,2,2,2
519986,1,2,2,2
/s/notifications/notification,120,280,300,300
604505,1,2,2,2
604508,1,2,2,2
604539,1,3,3,3
604548,1,2,2,2
604563,1,2,2,2
604604,1,2,2,2
604624,1,2,2,2
604653,1,2,2,2
604658,1,2,2,2
604662,1,2,2,2
604667,1,2,2,2
604671,1,2,2,2
604678,1,2,2,2
604681,1,2,2,2
604685,1,2,2,2
604716,1,3,3,3
604727,1,7,16,16
604744,1,4,4,4
604767,1,2,2,2
604774,1,2,2,2
604790,1,2,2,2
604808,1,2,2,2
604846,1,2,2,2
604856,1,7,7,7
604868,1,2,2,2
604884,1,3,3,3
604889,1,2,2,2
604890,1,2,2,2
604901,1,2,2,2
604902,1,3,3,3
604910,1,3,4,4
604920,1,2,2,2
604926,1,2,2,2
604931,1,2,2,2
604936,1,2,2,2
604939,1,2,2,2
604948,1,2,2,2
605086,1,2,2,2
605088,1,5,5,5
605096,1,2,2,2
605098,1,3,3,3
605122,1,2,2,2
605124,1,3,3,3
605127,1,3,3,3
605134,1,2,2,2
605144,1,3,3,3
605147,1,5,5,5
605155,1,2,2,2
605160,1,2,2,2
605174,1,2,2,2
605178,1,3,3,3
605184,1,2,2,2
605186,1,4,4,4
605189,1,2,2,2
605193,1,2,4,4
605195,1,2,3,3
605199,1,2,4,4
605248,1,2,2,2
605250,1,3,3,3
605259,1,2,2,2
605270,1,2,2,2
605274,1,2,2,2
605279,1,2,2,2
605295,1,2,2,2
605300,1,3,3,3
605307,1,2,2,2
