replayFrom,channelName,TotalDelivered
1017323,/event/OutboundCase__e,3
1017324,/event/OutboundCase__e,3
1017326,/event/OutboundCase__e,3
1017329,/event/OutboundCase__e,3
1017330,/event/OutboundCase__e,3
1017331,/event/OutboundCase__e,3
1017333,/event/OutboundCase__e,3
1017334,/event/OutboundCase__e,3
1017336,/event/OutboundCase__e,3
1017337,/event/OutboundCase__e,3
1017342,/event/OutboundCase__e,3
1017343,/event/OutboundCase__e,3
1017344,/event/OutboundCase__e,3
1017346,/event/OutboundCase__e,3
1017347,/event/OutboundCase__e,3
1017349,/event/OutboundCase__e,3
1017354,/event/OutboundCase__e,3
1017357,/event/OutboundCase__e,3
1017360,/event/OutboundCase__e,3
1017378,/event/OutboundCase__e,6
1017398,SharedSubscriber - /event/01I0H000002i97P,3
1017400,/event/OutboundCase__e,3
1017410,/event/OutboundCase__e,3
1017414,/event/OutboundCase__e,3
1017417,/event/OutboundCase__e,3
1017424,/event/OutboundCase__e,3
1017427,/event/OutboundCase__e,3
1017432,/event/OutboundCase__e,3
1017433,/event/OutboundCase__e,3
1017434,/event/OutboundCase__e,3
1017436,/event/OutboundCase__e,6
1017438,/event/OutboundCase__e,3
1017439,/event/OutboundCase__e,3
1017441,/event/OutboundCase__e,3
1017444,/event/OutboundCase__e,3
1017446,/event/OutboundCase__e,3
1017451,/event/OutboundCaseComment__e,3
1017454,/event/OutboundCase__e,3
1017458,/event/OutboundCase__e,3
1017459,/event/OutboundCase__e,3
1017460,/event/OutboundCase__e,3
1017463,/event/OutboundCase__e,3
1017465,/event/OutboundCase__e,3
1017471,/event/OutboundCase__e,3
1017473,/event/OutboundCase__e,3
1017476,/event/OutboundCase__e,3
1017480,/event/OutboundCase__e,3
1017482,/event/OutboundCase__e,3
1017485,/event/OutboundCase__e,3
1017489,/event/OutboundCase__e,3
1017490,/event/OutboundCase__e,3
1017492,/event/OutboundCase__e,3
1017496,/event/OutboundCase__e,3
1017497,/event/OutboundCase__e,3
1017502,/event/OutboundCase__e,3
1017503,/event/OutboundCase__e,3
1017504,/event/OutboundCase__e,3
1017508,/event/OutboundCase__e,3
1017510,/event/OutboundCase__e,6
1017513,/event/OutboundCase__e,3
1017516,/event/OutboundCase__e,3
1017518,/event/OutboundCase__e,3
1017519,/event/OutboundCase__e,3
1017520,/event/OutboundCase__e,6
1017522,/event/OutboundCase__e,3
1017525,/event/OutboundCase__e,3
1017527,/event/OutboundCase__e,3
1017528,/event/OutboundCase__e,3
1017530,/event/OutboundCase__e,6
1017532,/event/OutboundCase__e,3
1017535,/event/OutboundCase__e,3
1017536,/event/OutboundCase__e,3
1017538,/event/OutboundCase__e,3
1017541,/event/OutboundCase__e,3
1017543,/event/OutboundCase__e,6
1017545,/event/OutboundCase__e,3
1017549,/event/OutboundCase__e,3
1017550,/event/OutboundCase__e,3
1017551,/event/OutboundCase__e,3
1017552,/event/OutboundCase__e,3
1017553,/event/OutboundCase__e,3
1017554,/event/OutboundCase__e,3
1017555,/event/OutboundCase__e,3
1017556,/event/OutboundCase__e,3
1017558,/event/OutboundCase__e,3
1017559,/event/OutboundCase__e,3
1017560,/event/OutboundCase__e,3
1017561,/event/OutboundCase__e,3
1017564,/event/OutboundCase__e,6
1017567,/event/OutboundCase__e,3
1017568,/event/OutboundCase__e,3
1017572,/event/OutboundCase__e,3
1017573,/event/OutboundCase__e,3
1017574,/event/OutboundCase__e,3
1017575,/event/OutboundCase__e,3
1017577,/event/OutboundCase__e,6
1017579,/event/OutboundCase__e,3
1017580,/event/OutboundCase__e,3
1017581,/event/OutboundCase__e,3
1017584,/event/OutboundCase__e,3
1017586,/event/OutboundCase__e,3
1017588,/event/OutboundCase__e,3
1017590,/event/OutboundCase__e,3
1017591,/event/OutboundCase__e,158
1017671,/event/OutboundCase__e,3
1017672,/event/OutboundCase__e,3
1017752,/event/OutboundCase__e,3
1017753,/event/OutboundCase__e,3
1017754,/event/OutboundCase__e,3
1017755,/event/OutboundCase__e,3
1017757,/event/OutboundCase__e,6
1017761,/event/OutboundCase__e,3
1017762,/event/OutboundCase__e,3
1017763,/event/OutboundCase__e,6
1017765,/event/OutboundCase__e,6
1017771,/event/OutboundCase__e,6
1017773,/event/OutboundCase__e,3
1017774,/event/OutboundCase__e,3
1017776,/event/OutboundCase__e,3
1017779,/event/OutboundCase__e,3
1017780,/event/OutboundCase__e,3
1017782,/event/OutboundCase__e,3
1017783,/event/OutboundCase__e,3
1017784,/event/OutboundCase__e,3
1017786,/event/OutboundCase__e,3
1017787,/event/OutboundCase__e,6
